Week,PRICE 12PK,PRICE 18PK,PRICE 30PK,CASES 12PK,CASES 18PK,CASES 30PK
1,19.98,14.1,15.19,223.5,439,55
2,19.98,18.65,15.19,215,98,66.75
3,19.98,18.65,13.87,227.5,70,242
4,19.98,18.65,12.83,244.5,52,488.5
5,19.98,18.65,13.16,313.5,64,308.75
6,19.98,18.65,15.19,279,72,111.75
7,19.98,18.65,13.92,238,47,252.5
8,20.1,18.73,14.42,315.5,85,221.25
9,20.12,18.75,13.83,217,59,245.25
10,20.13,18.75,14.5,209.5,63,148.5
11,20.14,18.75,13.87,227,57,229.75
12,20.12,18.75,13.64,216.5,54,312
13,20.12,13.87,14.31,169,404,96.75
14,20.13,14.27,13.85,178,380,123.25
15,20.14,18.76,14.2,301.5,65,200.5
16,20.14,18.77,13.64,266.5,40,359.75
17,20.13,13.87,14.33,182.5,456,113.5
18,20.13,14.14,13.14,159,176,136.5
19,20.13,18.76,13.81,285.5,61,225.5
20,20.13,18.72,15.19,360,91,122.25
21,20.13,18.76,13.13,263,59,443.75
22,19.18,18.76,13.63,443.5,83,322.75
23,14.78,18.74,15.19,1101.5,41,53
24,16.04,18.75,13.89,814,47,140.75
25,20.12,18.75,14.28,365,84,210.75
26,19.75,18.75,15.19,510,85,110.5
27,19.65,18.75,13.12,580.5,116,568.25
28,19.69,13.79,13.78,251,544,115.5
29,20.12,13.49,15.19,237,890,58.75
30,20.12,14.89,15.19,302.5,371,77.25
31,20.13,13.94,15.19,229.5,557,66.25
32,20.14,13.67,15.19,188.5,775,50
33,15.14,14.43,15.19,795.5,236,46.5
34,14.33,18.75,15.19,1556.5,43,65.75
35,16.24,18.22,13.14,807.5,63,252.75
36,19.93,14.06,13.45,243,469,179
37,21.06,14.43,13,201.5,335,226.25
38,21.19,19.48,13.6,294,75,288.5
39,21.23,15.15,14.46,220.5,461,114.25
40,20.12,13.79,14.94,255.5,817,70
41,14.73,14.31,15.19,920.5,200,47.75
42,14.57,19.5,15.19,730,32,98.75
43,15.94,13.85,15.19,262.5,460,77
44,20.7,14.23,13.43,209.5,751,160.5
45,19.57,19.31,14.37,283,70,143.5
46,19.6,19.29,15.19,262.5,80,133
47,19.94,13.76,15.19,310,523,68.75
48,21.28,13.45,15.19,278.5,741,81.75
49,14.56,15.13,15.19,741.5,130,56.25
50,14.39,19.43,15.19,1316,69,68.75
51,16.81,13.26,15.19,449,493,49.25
52,19.86,13.92,15.19,505,814,76.5
 ,,, , ,,
 ,,, , ,,
 ,,, , ,,
 ,,, , ,,
 ,,, , ,,
 ,,, , ,,
 ,,, , ,,
 ,,, ,,,
